Date,Fe,CaO,SiO2,Phos,MgO,Al2O3,TiO2,K2O,S,BI,TI,RDI
01-Apr-15,54.39,11.51,5.76,0.099,2.48,2.19,0.2,0.052,0.008,2.43,70.2,24.85
02-Apr-15,54.86,11.67,5.74,0.061,2.16,1.79,0.14,0.067,0.003,2.41,73.2,23.3
03-Apr-15,53.84,12.01,5.87,0.113,2.32,2.52,0.18,0.049,0.017,2.44,69.5,26.21
04-Apr-15,53.35,12.35,5.96,0.11,1.69,3.44,0.17,0.05,0.015,2.36,66.3,36.58
05-Apr-15,55.2,11.57,5.55,0.07,1.01,2.63,0.15,0.15,0.017,2.27,69.6,26.34
06-Apr-15,54.58,11.47,5.5,0.11,1.4,3.31,0.18,0.045,0.015,2.34,67.1,34.54
07-Apr-15,54.27,11.5,5.44,0.12,1.83,3.36,0.18,0.045,0.001,2.45,66.9,34.96
08-Apr-15,54.39,11.45,5.39,0.121,1.63,3.48,0.17,0.055,0.001,2.43,66.2,37.89
09-Apr-15,52.85,12.67,5.96,0.102,2.49,3.05,0.16,0.045,0.02,2.54,67.9,31.83
10-Apr-15,54.57,11.56,5.4,0.116,1.31,3.39,0.2,0.041,0.025,2.38,66.8,35.98
11-Apr-15,54.17,12.02,5.58,0.098,1.72,2.97,0.17,0.05,0.006,2.46,68.3,30.2
12-Apr-15,53.99,11.85,5.48,0.088,1.85,3.38,0.15,0.053,0.021,2.5,66.7,35.5
13-Apr-15,54.27,11.96,5.53,0.095,1.62,3.02,0.17,0.066,0.014,2.46,68,31.59
14-Apr-15,55.62,10.86,5.02,0.093,1.07,3.24,0.19,0.062,0.007,2.38,67.1,33.6
15-Apr-15,54.26,12.67,5.85,0.082,1.83,1.84,0.14,0.057,0.02,2.48,72.6,23.26
16-Apr-15,54.81,11.43,5.24,0.117,2.28,2.42,0.17,0.04,0.002,2.62,69.7,25.84
17-Apr-15,54.51,12.33,5.65,0.09,1.74,2.07,0.15,0.072,0.022,2.49,71.3,23.8
18-Apr-15,54.44,12.33,5.65,0.09,1.74,2.17,0.15,0.072,0.022,2.49,71.6,23.4
19-Apr-15,56.14,10.25,4.69,0.105,1.04,3.46,0.19,0.055,0.01,2.41,66.7,37.36
20-Apr-15,54.65,12.31,5.62,0.065,1.39,2.27,0.17,0.098,0.011,2.44,71.1,24.2
21-Apr-15,54.54,12.24,5.56,0.09,1.21,2.73,0.16,0.077,0.015,2.42,68.9,26.86
22-Apr-15,55.07,11.98,5.44,0.088,1.26,2.32,0.16,0.072,0.008,2.43,70.1,25.36
23-Apr-15,55.03,11.98,5.44,0.088,1.26,2.37,0.16,0.072,0.014,2.43,69.9,25.62
24-Apr-15,56.58,9.98,4.52,0.102,1.15,3.16,0.19,0.054,0.011,2.46,67.7,32.81
25-Apr-15,55.66,11.87,5.37,0.077,0.91,1.97,0.15,0.128,0.017,2.38,71.5,23.5
26-Apr-15,53.88,12.71,5.75,0.091,1.33,2.89,0.17,0.077,0.01,2.44,68.5,28.35
27-Apr-15,54.68,12.14,5.49,0.1,1.96,1.95,0.15,0.08,0.01,2.57,71.9,22.12
28-Apr-15,53.93,12.33,5.56,0.083,1.55,3.17,0.16,0.084,0.015,2.5,67.2,32.2
29-Apr-15,54.38,12.67,5.68,0.082,1.83,1.84,0.14,0.057,0.02,2.55,72.2,23.9
30-Apr-15,55.48,11.6,5.2,0.073,0.99,2.58,0.15,0.134,0.021,2.42,69.3,26.59
01-May-15,52.37,13.52,6.06,0.112,1.67,3.55,0.18,0.075,0.025,2.51,66.6,40.2
02-May-15,53.88,12.43,5.54,0.118,1.42,3.28,0.18,0.047,0.015,2.5,67.3,33.92
03-May-15,54.65,12.24,5.45,0.09,1.21,2.68,0.16,0.077,0.015,2.47,69.1,26.75
04-May-15,54.94,12,5.34,0.065,1,2.82,0.14,0.13,0.024,2.43,68.6,27.62
05-May-15,53.26,12.76,5.62,0.091,1.81,3.41,0.16,0.047,0.015,2.59,66.4,36.12
06-May-15,55.52,10.91,4.8,0.124,1.11,3.51,0.18,0.053,0.001,2.5,66.1,38.51
07-May-15,54.6,12.14,5.33,0.091,1.32,2.86,0.16,0.074,0.019,2.53,68.4,27.84
08-May-15,55.01,12.22,5.36,0.089,1.7,1.83,0.15,0.045,0.014,2.6,72.1,22.12
09-May-15,54.81,11.85,5.18,0.085,1.37,2.96,0.16,0.075,0.015,2.55,68.1,30.52
10-May-15,53.42,12.83,5.57,0.107,1.69,3.24,0.18,0.066,0.009,2.61,67,33.48
11-May-15,54.81,12.35,5.35,0.08,1.43,2.28,0.14,0.061,0.015,2.58,70.8,24.52
12-May-15,55.17,11.15,4.83,0.105,1.52,3.34,0.17,0.058,0.017,2.62,67,34.78
13-May-15,53.56,12.86,5.56,0.067,1.53,3.21,0.14,0.103,0.015,2.59,67.3,32.9
14-May-15,55.05,12.27,5.26,0.093,1.27,2.22,0.16,0.07,0.015,2.57,70.7,23.1
15-May-15,52.94,13.33,5.7,0.12,1.87,3.09,0.16,0.083,0.018,2.67,67.6,31.75
16-May-15,54.18,12.55,5.36,0.114,1.56,2.77,0.17,0.05,0.027,2.63,69,27.05
17-May-15,55.12,12.16,5.14,0.109,1.27,2.3,0.17,0.102,0.01,2.61,70.5,25.12
18-May-15,55.55,12.33,5.2,0.079,1.22,1.61,0.14,0.061,0.007,2.61,72.8,21.8
19-May-15,53.8,13.09,5.49,0.087,1.27,2.95,0.16,0.077,0.021,2.62,68.2,28.95
20-May-15,52.19,13.92,6.06,0.095,2.02,3.12,0.15,0.051,0.021,2.63,67.8,32.6
